estrutura-linguagem tempo tamanho_da_entrada
linkedlist-java 900 655
linkedlist-java 1100 907
linkedlist-java 100 39
linkedlist-java 300 264
linkedlist-java 1100 909
linkedlist-java 200 131
linkedlist-java 1000 857
linkedlist-java 1100 969
linkedlist-java 500 451
linkedlist-java 700 544
linkedlist-java 200 194
linkedlist-java 800 685
linkedlist-java 700 610
linkedlist-java 600 528
linkedlist-java 200 195
linkedlist-java 400 297
linkedlist-java 500 411
linkedlist-java 100 79
linkedlist-java 300 271
linkedlist-java 500 440
linkedlist-java 1000 913
linkedlist-java 100 50
linkedlist-java 800 723
linkedlist-java 100 115
linkedlist-java 700 650
linkedlist-java 400 364
linkedlist-java 800 707
linkedlist-java 500 473
linkedlist-java 400 316
linkedlist-java 1000 907
linkedlist-java 500 471
linkedlist-java 400 366
linkedlist-java 600 563
linkedlist-java 200 206
linkedlist-java 100 63
linkedlist-java 400 338
linkedlist-java 500 401
linkedlist-java 300 256
linkedlist-java 1100 937
linkedlist-java 200 172
linkedlist-java 900 758
linkedlist-java 800 665
linkedlist-java 200 202
linkedlist-java 1100 924
linkedlist-java 0 15
linkedlist-java 0 29
linkedlist-java 800 693
linkedlist-java 200 143
linkedlist-java 1000 851
linkedlist-java 500 392
linkedlist-java 300 254
linkedlist-java 900 796
linkedlist-java 0 3
linkedlist-java 900 754
linkedlist-java 1000 901
linkedlist-java 0 22
linkedlist-java 1100 989
linkedlist-java 500 444
linkedlist-java 500 456
linkedlist-java 900 744
linkedlist-java 900 813
linkedlist-java 400 382
linkedlist-java 500 390
linkedlist-java 700 571
linkedlist-java 500 414
linkedlist-java 1000 833
linkedlist-java 500 442
linkedlist-java 1000 876
linkedlist-java 500 450
linkedlist-java 500 422
linkedlist-java 400 302
linkedlist-java 700 572
linkedlist-java 500 427
linkedlist-java 1100 994
linkedlist-java 900 853
linkedlist-java 800 698
linkedlist-java 200 143
linkedlist-java 300 286
linkedlist-java 900 802
linkedlist-java 200 177
linkedlist-java 400 325
linkedlist-java 800 681
linkedlist-java 900 770
linkedlist-java 1000 868
linkedlist-java 1100 986
linkedlist-java 200 205
linkedlist-java 900 763
linkedlist-java 1100 969
linkedlist-java 300 218
linkedlist-java 1100 945
linkedlist-java 800 710
linkedlist-java 800 679
linkedlist-java 100 35
linkedlist-java 600 527
linkedlist-java 1000 914
linkedlist-java 700 617
linkedlist-java 500 436
linkedlist-java 700 572
linkedlist-java 1000 870
linkedlist-java 1000 858
linkedlist-java 3300 2241
linkedlist-java 7900 6998
linkedlist-java 9000 7942
linkedlist-java 11100 9815
linkedlist-java 9300 8270
linkedlist-java 7700 6777
linkedlist-java 8200 7213
linkedlist-java 5000 4391
linkedlist-java 4300 3777
linkedlist-java 7300 6445
linkedlist-java 1600 1437
linkedlist-java 2400 2089
linkedlist-java 10200 9034
linkedlist-java 6500 5727
linkedlist-java 10500 9279
linkedlist-java 1800 1536
linkedlist-java 3100 2774
linkedlist-java 9400 8384
linkedlist-java 10900 9659
linkedlist-java 2700 2346
linkedlist-java 3200 2815
linkedlist-java 3900 3471
linkedlist-java 2100 1865
linkedlist-java 4900 4317
linkedlist-java 7400 6596
linkedlist-java 7700 6839
linkedlist-java 7800 6915
linkedlist-java 5800 5176
linkedlist-java 10700 9486
linkedlist-java 10600 9398
linkedlist-java 7000 6216
linkedlist-java 8500 7587
linkedlist-java 3900 3476
linkedlist-java 9300 8259
linkedlist-java 9400 8378
linkedlist-java 4000 3526
linkedlist-java 10100 9004
linkedlist-java 5000 4398
linkedlist-java 5100 4530
linkedlist-java 9900 8750
linkedlist-java 7400 6536
linkedlist-java 9500 8396
linkedlist-java 5700 5018
linkedlist-java 6100 5428
linkedlist-java 1700 1514
linkedlist-java 8900 7922
linkedlist-java 5500 4871
linkedlist-java 6000 5353
linkedlist-java 7000 6245
linkedlist-java 3500 3066
linkedlist-java 8200 7247
linkedlist-java 5000 4427
linkedlist-java 7800 6962
linkedlist-java 9600 8557
linkedlist-java 11300 9994
linkedlist-java 3300 2922
linkedlist-java 7800 6884
linkedlist-java 9000 8031
linkedlist-java 4800 4244
linkedlist-java 1700 1532
linkedlist-java 5200 4633
linkedlist-java 8000 7063
linkedlist-java 6700 5906
linkedlist-java 7200 6428
linkedlist-java 6300 5541
linkedlist-java 7500 6624
linkedlist-java 9100 8027
linkedlist-java 3000 2662
linkedlist-java 5200 4614
linkedlist-java 8300 7372
linkedlist-java 7000 6217
linkedlist-java 7100 6316
linkedlist-java 4700 4201
linkedlist-java 9900 8771
linkedlist-java 7800 6882
linkedlist-java 10800 9609
linkedlist-java 2900 2562
linkedlist-java 1400 1195
linkedlist-java 6400 5647
linkedlist-java 5900 5194
linkedlist-java 5400 4746
linkedlist-java 3000 2664
linkedlist-java 10700 9475
linkedlist-java 5900 5264
linkedlist-java 2300 2019
linkedlist-java 9800 8726
linkedlist-java 2200 1971
linkedlist-java 7800 6949
linkedlist-java 8800 7775
linkedlist-java 6900 6088
linkedlist-java 10200 9084
linkedlist-java 5600 4926
linkedlist-java 4300 3839
linkedlist-java 8300 7371
linkedlist-java 9300 8285
linkedlist-java 7100 6303
linkedlist-java 9500 8393
linkedlist-java 5100 4514
linkedlist-java 4200 3759
linkedlist-java 2300 2039
linkedlist-java 99400 88116
linkedlist-java 104700 92921
linkedlist-java 106900 94815
linkedlist-java 39300 34807
linkedlist-java 32800 29029
linkedlist-java 17100 15214
linkedlist-java 65200 57784
linkedlist-java 33500 29693
linkedlist-java 25200 22290
linkedlist-java 19100 16963
linkedlist-java 18100 16084
linkedlist-java 24800 21963
linkedlist-java 45000 39890
