estrutura_linguagem tempo tamanho
linkedlist-java 100 655
linkedlist-java 100 907
linkedlist-java 0 39
linkedlist-java 0 264
linkedlist-java 0 909
linkedlist-java 0 131
linkedlist-java 0 857
linkedlist-java 0 969
linkedlist-java 0 451
linkedlist-java 0 544
linkedlist-java 0 194
linkedlist-java 0 685
linkedlist-java 0 610
linkedlist-java 0 528
linkedlist-java 0 195
linkedlist-java 0 297
linkedlist-java 0 411
linkedlist-java 0 79
linkedlist-java 0 271
linkedlist-java 0 440
linkedlist-java 0 913
linkedlist-java 0 50
linkedlist-java 0 723
linkedlist-java 0 115
linkedlist-java 0 650
linkedlist-java 0 364
linkedlist-java 0 707
linkedlist-java 0 473
linkedlist-java 0 316
linkedlist-java 0 907
linkedlist-java 0 471
linkedlist-java 0 366
linkedlist-java 0 563
linkedlist-java 0 206
linkedlist-java 0 63
linkedlist-java 0 338
linkedlist-java 0 401
linkedlist-java 0 256
linkedlist-java 0 937
linkedlist-java 0 172
linkedlist-java 0 758
linkedlist-java 0 665
linkedlist-java 0 202
linkedlist-java 0 924
linkedlist-java 0 15
linkedlist-java 0 29
linkedlist-java 0 693
linkedlist-java 0 143
linkedlist-java 0 851
linkedlist-java 0 392
linkedlist-java 0 254
linkedlist-java 0 796
linkedlist-java 0 3
linkedlist-java 0 754
linkedlist-java 0 901
linkedlist-java 0 22
linkedlist-java 0 989
linkedlist-java 0 444
linkedlist-java 0 456
linkedlist-java 0 744
linkedlist-java 0 813
linkedlist-java 0 382
linkedlist-java 0 390
linkedlist-java 0 571
linkedlist-java 0 414
linkedlist-java 0 833
linkedlist-java 0 442
linkedlist-java 0 876
linkedlist-java 0 450
linkedlist-java 0 422
linkedlist-java 0 302
linkedlist-java 0 572
linkedlist-java 0 427
linkedlist-java 0 994
linkedlist-java 0 853
linkedlist-java 0 698
linkedlist-java 0 143
linkedlist-java 0 286
linkedlist-java 0 802
linkedlist-java 0 177
linkedlist-java 0 325
linkedlist-java 0 681
linkedlist-java 0 770
linkedlist-java 0 868
linkedlist-java 0 986
linkedlist-java 0 205
linkedlist-java 0 763
linkedlist-java 0 969
linkedlist-java 0 218
linkedlist-java 0 945
linkedlist-java 0 710
linkedlist-java 0 679
linkedlist-java 0 35
linkedlist-java 0 527
linkedlist-java 0 914
linkedlist-java 0 617
linkedlist-java 0 436
linkedlist-java 0 572
linkedlist-java 0 870
linkedlist-java 0 858
linkedlist-java 100 2241
linkedlist-java 100 6998
linkedlist-java 0 7942
linkedlist-java 0 9815
linkedlist-java 0 8270
linkedlist-java 0 6777
linkedlist-java 0 7213
linkedlist-java 0 4391
linkedlist-java 0 3777
linkedlist-java 0 6445
linkedlist-java 0 1437
linkedlist-java 0 2089
linkedlist-java 0 9034
linkedlist-java 0 5727
linkedlist-java 0 9279
linkedlist-java 0 1536
linkedlist-java 0 2774
linkedlist-java 0 8384
linkedlist-java 0 9659
linkedlist-java 0 2346
linkedlist-java 0 2815
linkedlist-java 0 3471
linkedlist-java 0 1865
linkedlist-java 0 4317
linkedlist-java 0 6596
linkedlist-java 0 6839
linkedlist-java 0 6915
linkedlist-java 0 5176
linkedlist-java 0 9486
linkedlist-java 0 9398
linkedlist-java 0 6216
linkedlist-java 0 7587
linkedlist-java 0 3476
linkedlist-java 0 8259
linkedlist-java 0 8378
linkedlist-java 0 3526
linkedlist-java 0 9004
linkedlist-java 0 4398
linkedlist-java 0 4530
linkedlist-java 0 8750
linkedlist-java 0 6536
linkedlist-java 0 8396
linkedlist-java 0 5018
linkedlist-java 0 5428
linkedlist-java 0 1514
linkedlist-java 0 7922
linkedlist-java 0 4871
linkedlist-java 0 5353
linkedlist-java 0 6245
linkedlist-java 0 3066
linkedlist-java 0 7247
linkedlist-java 0 4427
linkedlist-java 0 6962
linkedlist-java 0 8557
linkedlist-java 0 9994
linkedlist-java 0 2922
linkedlist-java 0 6884
linkedlist-java 0 8031
linkedlist-java 0 4244
linkedlist-java 0 1532
linkedlist-java 0 4633
linkedlist-java 0 7063
linkedlist-java 0 5906
linkedlist-java 0 6428
linkedlist-java 0 5541
linkedlist-java 0 6624
linkedlist-java 0 8027
linkedlist-java 0 2662
linkedlist-java 0 4614
linkedlist-java 0 7372
